genome	tax	AMO	hao	NXR	NAP	NAR	NAS	NIR	ccNIR	ppk1	ppk2	ppx	Ni_MP_aver	Cd_MP_aver	Cr_O_aver	Ni_O_aver	Cd_O_aver	Cr_LP_aver	Ni_LP_aver	Cd_LP_aver	Cd_HP_aver	Ni_HP_aver	Cr_MP_aver	Cr_HP_aver	CK	LDAgroup	LDA_socre	pvalue
MAG-153	p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Polyangium;s__			Yes				Yes		Yes	Yes		0.181564	4.635816	7.507919	5.301296	4.269234	0	0.314017	5.886711	0.370876	0	0	0	2.689466	CK	3.085364393	0.005502605
MAG-154	p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas mexicana				Yes			Yes		Yes	Yes	Yes	3.200832	2.925532	3.99611	4.727316	4.930742	1.205307	4.07405	3.210371	616.24604	4.233511	1.410043	2.029771	1.724591	Cd	4.201137342	0.021642205
MAG-155	p__Planctomycetes;c__;o__;f__;g__;s__			Yes		Yes			Yes	Yes			0.30364	0	4.95298	1.092648	2.380623	0	0	0	0	0	0	0	16.914812	CK	3.227236183	0.03357473
MAG-156	p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__					Yes				Yes		Yes	3.567542	0.388835	0.68857	3.204934	0.625714	0.137692	21.979338	0.564325	0.332025	1.558906	0.18802	0.124066	0.459868	Ni	3.350220011	0.003246547
MAG-157	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Saprospiraceae;g__;s__									Yes	Yes		0.448368	4.433104	2.328661	0.950491	2.508343	76.607304	1.681474	6.215158	0.562855	0.020772	57.746475	0.193227	0.964125			-
MAG-158	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Elstera;s__					Yes					Yes	Yes	2.920845	3.947961	4.388793	7.188529	3.684543	0.440757	3.530327	4.572127	2.449474	1.524697	0.533526	0.476731	6.811333			-
MAG-159	p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodobiaceae;g__Anderseniella;s__							Yes		Yes	Yes	Yes	0.976769	0.689646	3.418653	12.748433	4.337748	0.858565	6.565611	3.845045	0.359796	0.209649	0.864112	0.72436	0.298588			-
MAG-16	p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Polyangium;s__									Yes	Yes		12.440298	0.04933	7.81103	8.72292	4.91385	0.011536	5.208384	0.671368	0	0.077587	0.023663	0	0.744129	Ni	3.0579766	0.00927036
MAG-160	p__Planctomycetes;c__UBA1135;o__UBA1135;f__GCA-002686595;g__;s__			Yes		Yes			Yes	Yes	Yes		1.658872	0.420658	29.062827	7.614976	14.845865	0.302364	5.961905	1.725049	0.177566	0.806443	0.339086	0.160415	0.455966	CK	3.348440065	0.029579032
MAG-161	p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__;s__							Yes	Yes	Yes	Yes		0.680485	1.658988	1.196308	1.509157	1.221235	21.112876	1.287722	2.914742	1.646467	1.21985	2.323275	46.041719	4.475383	Cr	3.508141594	0.033646724
